채용 제목,채용 링크,회사명,회사 링크,지역,경력,학력,고용형태,연봉,직무 분야,등록일,마감일
[사업확장] 각 부문 신규 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48917246&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)마더케이,https://www.saramin.co.kr/zf_user/company-info/view?csn=d1Z4R3hRemNlam9lcCtEazRkTHpSdz09,경기 성남시 분당구,신입·경력,초대졸↑,정규직,정보 없음,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",2024/11/29,2024/12/31
알피바이오 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49328813&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)알피바이오,https://www.saramin.co.kr/zf_user/company-info/view?csn=dlVsalhjYU9wYmpjRWpZOVF5ZktNZz09,서울 강남구,신입·경력,학력무관,정규직·계약직,정보 없음,"기술지원, 보안컨설팅, 유지보수, 정보보안, IT컨설팅",2024/11/29,2024/12/04
"단말기(AP, ONT) 품질 검증 시험 인력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49332982&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)콤위즈,https://www.saramin.co.kr/zf_user/company-info/view?csn=Ri8vUTJpTnFSQ2dmNUlqMklPWGdIZz09,서울전체,신입·경력,고졸↑,정규직,정보 없음,"유지보수, SE(시스템엔지니어), 네트워크, 정보통신, H/W",2024/11/27,2024/12/31
한국특수가스㈜ 부문별 신입 및 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49331516&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,한국특수가스(주),https://www.saramin.co.kr/zf_user/company-info/view?csn=OEh6Wnl2MFh2Z0svYncvZ1B5ZGlzUT09,전북 익산시,신입·경력,학력무관,정규직,정보 없음,"백엔드/서버개발, 웹개발, 웹마스터, 유지보수, 정보보안",2024/11/27,2024/01/04
재귀반사1위기업 연구개발/제조/구매총무/국내·해외영업/전산,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348823&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)에이치제이,https://www.saramin.co.kr/zf_user/company-info/view?csn=MlprUDB4VkNJcHdYT0RjOEJJWkZlZz09,경기전체,신입·경력,초대졸↑,정규직,정보 없음,"유지보수, 네트워크, ERP, AWS, Azure",2024/11/29,2024/12/31
자연어처리 서비스 개발 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404200&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)신한은행,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmExenNMS3JoVXFtSHlzNUVidUJwUT09,서울전체,경력1년↑,학력무관,정규직·계약직,정보 없음,"데이터엔지니어, 딥러닝, 알고리즘, 임베디드, NLP(자연어처리)",2024/11/14,정보 없음
금융SRE(상황관리/장애관리/문제관리) 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49404187&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)신한은행,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmExenNMS3JoVXFtSHlzNUVidUJwUT09,서울전체,경력3년↑,학력무관,정규직·계약직,정보 없음,"보안컨설팅, 앱개발, 웹개발, 정보보안, 모의해킹",2024/11/14,정보 없음
[ Craver ] 글로벌 뷰티 화장품 브랜드 SKIN1004 해외 서구권 인플루언서 마케팅 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49498329&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)크레이버코퍼레이션,https://www.saramin.co.kr/zf_user/company-info/view?csn=OXYySUM4MVFJVnpEN25IRDY5VnpMUT09,서울 강남구,경력,대졸↑,정규직,정보 없음,"데이터분석가, 데이터엔지니어, Python, SQL, 콘텐츠관리",2024/11/29,2024/01/09
[천재교육] AI센터 언어처리팀 각 부문별 개발자 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488174&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)천재교육,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZmlVQ2M2cnFWNitnbnlXYzZ1NkM0QT09,서울 금천구,경력 3~15년,학력무관,정규직·계약직,정보 없음,"백엔드/서버개발, 딥러닝, 솔루션, 클라우드, API",2024/11/28,2024/12/28
[Manpower] IT 전 직종 인력모집 공고문,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49502225&location=ts&searchType=search&paid_fl=n&search_uuid=c4022e9a-4532-433b-a965-9a9427998c5a,(주)맨파워그룹코리아,https://www.saramin.co.kr/zf_user/company-info/view?csn=SmJ4OVQyczYwSExPNWdMZlh4SGtydz09,서울 강남구,경력무관,학력무관,기간제·계약직,정보 없음,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅",2024/12/01,2024/12/31
